,genen,like,genem
134,413,748,1
135,417,36531,1
136,452,40416,1
137,452,32673,1
138,452,34166,1
139,456,51253,1
140,460,34499,1
141,460,7505,1
142,486,20887,1
143,493,27180,1
144,493,37186,1
145,493,31138,1
146,500,28904,1
147,500,34205,1
148,505,35912,1
149,505,19265,1
150,505,34205,1
151,541,28904,1
152,541,34205,1
153,549,38180,1
154,549,28904,1
155,549,34205,1
156,572,34205,1
157,576,43711,1
158,576,38947,1
159,576,14801,1
160,585,17255,1
161,589,51068,1
162,592,27804,1
163,596,19265,1
164,600,31681,1
165,634,17255,1
166,634,29102,1
167,641,44903,1
168,641,35569,1
169,647,25713,1
170,647,30015,1
171,652,25517,1
172,666,28904,1
173,671,34205,1
174,671,38180,1
175,671,4779,1
176,682,43476,1
177,682,31645,1
178,682,37420,1
179,702,5408,1
180,713,28904,1
181,713,34205,1
182,733,11013,1
183,733,17255,1
184,733,25309,1
185,740,26646,1
186,748,20708,1
187,748,13935,1
188,748,29846,1
189,748,1701,1
190,748,31554,1
191,748,22572,1
192,748,45101,1
193,752,38397,1
194,763,7505,1
195,763,45128,1
196,763,8392,1
197,767,2980,1
198,767,50038,1
199,768,47479,1
200,774,17311,1
201,774,49750,1
202,774,49867,1
203,819,27133,1
204,819,34205,1
205,819,4087,1
206,819,16808,1
207,819,31463,1
208,819,29970,1
209,819,17311,1
210,835,17255,1
211,838,39559,1
212,863,34205,1
213,863,38308,1
214,863,505,1
215,863,38180,1
216,863,34834,1
217,863,13957,1
218,865,9387,1
219,865,18578,1
220,865,42087,1
221,871,19265,1
222,871,1058,1
223,871,45273,1
224,871,34205,1
225,872,48556,1
226,872,34227,1
227,878,28904,1
228,883,38180,1
229,883,53323,1
230,883,36138,1
231,883,28904,1
232,883,34205,1
233,883,26905,1
234,883,16197,1
235,902,49867,1
236,902,48002,1
237,902,17311,1
238,902,25616,1
239,941,49287,1
240,950,6259,1
241,962,19265,1
242,971,34205,1
243,989,2495,1
244,1005,42419,1
245,1006,51186,1
246,1006,28758,1
247,1006,47011,1
248,1015,17255,1
249,1029,36895,1
250,1034,52369,1
251,1036,7031,1
252,1036,748,1
253,1059,47084,1
254,1064,18791,1
255,1073,25279,1
256,1074,44247,1
257,1074,7031,1
258,1074,748,1
259,1074,27811,1
260,1074,39379,1
261,1074,31173,1
262,1074,4735,1
263,1074,413,1
264,1074,38691,1
265,1074,26605,1
266,1074,11851,1
267,1074,19414,1
268,1074,14672,1
269,1074,33016,1
270,1074,1617,1
271,1074,35458,1
272,1074,7298,1
273,1082,36138,1
274,1082,33797,1
275,1082,49977,1
276,1082,5112,1
277,1082,13400,1
278,1082,31554,1
279,1082,37530,1
280,1082,53401,1
281,1082,44247,1
282,1082,7031,1
283,1082,52911,1
284,1082,34116,1
285,1082,14379,1
286,1082,29846,1
287,1082,36824,1
288,1082,28735,1
289,1082,30679,1
290,1082,30154,1
291,1082,7103,1
292,1082,26905,1
293,1083,44474,1
294,1089,9228,1
295,1094,34400,1
296,1099,11042,1
297,1099,49503,1
298,1099,7598,1
299,1126,456,1
300,1126,32687,1
301,1129,30097,1
302,1130,29356,1
303,1134,28904,1
304,1150,35144,1
305,1150,1036,1
306,1152,50181,1
307,1161,27461,1
308,1161,33416,1
309,1169,21188,1
310,1169,38947,1
311,1169,20243,1
312,1185,42012,1
313,1185,39430,1
314,1185,38180,1
315,1189,34205,1
316,1198,5894,1
317,1198,30679,1
318,1198,7819,1
319,1198,19449,1
320,1198,43415,1
321,1198,4436,1
322,1198,17057,1
323,1198,28904,1
324,1198,11042,1
325,1198,33846,1
326,1198,21329,1
327,1198,413,1
328,1198,16713,1
329,1198,22893,1
330,1198,28915,1
331,1198,22322,1
332,1198,12121,1
333,1206,47016,1
334,1206,38947,1
335,1206,8456,1
336,1206,37027,1
337,1206,11682,1
338,1208,36804,1
339,1208,30115,1
340,1208,51602,1
341,1208,6207,1
342,1208,52929,1
343,1208,14896,1
344,1208,24847,1
345,1208,872,1
346,1208,35727,1
347,1208,31591,1
348,1208,29640,1
349,1208,33166,1
350,1208,46146,1
351,1211,28904,1
352,1211,31554,1
353,1211,44635,1
354,1211,38161,1
355,1216,456,1
356,1223,7376,1
357,1223,27720,1
358,1228,21188,1
359,1228,20243,1
360,1233,3389,1
361,1233,6500,1
362,1245,748,1
363,1245,11559,1
364,1245,19414,1
365,1245,31554,1
366,1245,29846,1
367,1245,17255,1
368,1245,17057,1
369,1245,9430,1
370,1251,16269,1
371,1251,36177,1
372,1251,49867,1
373,1269,28904,1
374,1282,37747,1
375,1285,42690,1
376,1290,45305,1
377,1297,19265,1
378,1297,53401,1
379,1313,837,1
380,1344,24677,1
381,1344,26060,1
382,1344,48642,1
383,1344,10908,1
384,1344,22158,1
385,1344,28686,1
386,1347,28904,1
387,1347,47879,1
388,1347,38180,1
389,1355,31138,1
390,1360,31138,1
391,1360,36338,1
392,1370,9310,1
393,1409,11013,1
394,1417,11557,1
395,1448,26708,1
396,1448,20243,1
397,1448,10108,1
398,1448,12566,1
399,1448,28543,1
400,1448,21188,1
401,1448,11296,1
402,1448,17772,1
403,1448,45736,1
404,1448,12105,1
405,1448,38947,1
406,1455,52514,1
407,1455,27812,1
408,1455,37854,1
409,1455,37027,1
410,1455,21188,1
411,1455,38947,1
412,1455,10108,1
413,1455,20243,1
414,1455,5610,1
415,1455,23063,1
416,1463,17144,1
417,1468,48063,1
418,1468,38969,1
419,1477,51122,1
420,1483,34205,1
421,1487,34205,1
422,1487,15872,1
423,1508,7493,1
424,1508,46149,1
425,1508,13301,1
426,1508,22157,1
427,1508,46881,1
428,1508,2922,1
429,1508,29159,1
430,1508,48542,1
431,1508,18900,1
432,1508,51371,1
433,1508,41673,1
434,1508,16343,1
435,1508,53,1
436,1508,1169,1
437,1508,44768,1
438,1508,44396,1
439,1508,46276,1
440,1508,406,1
441,1508,42228,1
442,1508,9159,1
443,1508,12481,1
444,1508,6624,1
445,1508,35372,1
446,1508,22255,1
447,1508,40845,1
448,1508,44279,1
449,1508,11851,1
450,1508,6548,1
451,1508,1616,1
452,1508,47414,1
453,1508,23201,1
454,1508,38915,1
455,1508,4196,1
456,1508,29509,1
457,1508,50,1
458,1508,21751,1
459,1508,16111,1
460,1508,41728,1
461,1508,45474,1
462,1508,21571,1
463,1508,14041,1
464,1508,28271,1
465,1508,24,1
466,1508,2913,1
467,1508,10908,1
468,1508,11670,1
469,1508,11395,1
470,1508,18619,1
471,1508,49948,1
472,1508,46481,1
473,1508,1206,1
474,1508,13561,1
475,1508,3568,1
476,1508,13936,1
477,1508,49264,1
478,1508,4953,1
479,1508,13751,1
480,1508,10963,1
481,1508,13431,1
482,1508,24676,1
483,1508,1455,1
484,1508,49903,1
485,1508,31106,1
486,1508,11641,1
487,1508,16279,1
488,1508,16682,1
489,1508,19907,1
490,1508,20636,1
491,1508,48598,1
492,1508,23486,1
493,1508,52381,1
494,1508,40355,1
495,1508,28121,1
496,1508,44854,1
497,1508,10225,1
498,1508,42249,1
499,1508,16695,1
500,1508,19298,1
501,1508,9748,1
502,1508,35632,1
503,1508,20781,1
504,1508,33610,1
505,1508,43395,1
506,1508,12098,1
507,1508,41236,1
508,1508,35420,1
509,1508,52526,1
510,1508,38673,1
511,1508,8620,1
512,1508,22617,1
513,1508,45353,1
514,1508,25209,1
515,1520,34205,1
516,1549,19265,1
517,1550,47479,1
518,1588,31138,1
519,1590,10049,1
520,1599,34205,1
521,1616,38947,1
522,1616,41208,1
523,1616,51165,1
524,1616,37027,1
525,1616,21188,1
526,1616,8456,1
527,1616,20243,1
528,1616,52514,1
529,1616,43711,1
530,1617,26605,1
531,1617,29846,1
532,1645,9737,1
533,1652,53401,1
534,1659,29540,1
535,1661,45855,1
536,1661,6794,1
537,1682,53401,1
538,1693,43832,1
539,1700,17255,1
540,1701,34205,1
541,1716,23834,1
542,1717,28904,1
543,1717,34205,1
544,1717,38180,1
545,1735,17064,1
546,1735,52895,1
547,1735,48277,1
548,1738,24309,1
549,1738,33797,1
550,1738,29853,1
551,1739,27804,1
552,1739,47151,1
553,1739,45101,1
554,1747,34205,1
555,1766,38180,1
556,1766,28904,1
557,1766,53401,1
558,1766,34205,1
559,1773,28904,1
560,1804,19265,1
561,1804,31138,1
562,1827,35581,1
563,1850,24110,1
564,1850,128,1
565,1850,37312,1
566,1850,24512,1
567,1850,49236,1
568,1852,50323,1
569,1852,52313,1
570,1860,37250,1
571,1860,52733,1
572,1860,13565,1
573,1860,1129,1
574,1860,35635,1
575,1866,42737,1
576,1866,34205,1
577,1866,38180,1
578,1872,28904,1
579,1872,34205,1
580,1885,11456,1
581,1895,43711,1
582,1895,52514,1
583,1895,37027,1
584,1895,38947,1
585,1895,21188,1
586,1920,34706,1
587,1920,31169,1
588,1920,42669,1
589,1923,50269,1
590,1923,5863,1
591,1923,45740,1
592,1923,2300,1
593,1923,28977,1
594,1923,37640,1
595,1951,12543,1
596,1951,7103,1
597,1951,23602,1
598,1951,24309,1
599,1951,14672,1
600,1951,10496,1
601,1951,748,1
602,1951,33797,1
603,1951,31654,1
604,1951,45843,1
605,1951,24255,1
606,1958,1617,1
607,1965,29970,1
608,1965,41485,1
609,1965,12995,1
610,1965,819,1
611,1965,18799,1
612,1965,23987,1
613,1965,38737,1
614,1965,11810,1
615,1965,19928,1
616,1965,50283,1
617,1965,11094,1
618,1965,48645,1
619,1965,30794,1
620,1965,41528,1
621,1965,48078,1
622,1965,5673,1
623,1965,17311,1
624,1965,31138,1
625,1965,35943,1
626,1965,4087,1
627,1965,50130,1
628,1965,11637,1
629,1965,25837,1
630,1965,29905,1
631,1965,30651,1
632,1965,52022,1
633,1965,11013,1
634,1965,47994,1
635,1965,51610,1
636,1965,52989,1
637,1965,25112,1
638,1965,47305,1
639,1965,37186,1
640,1965,24883,1
641,1965,41047,1
642,1965,10872,1
643,1965,8942,1
644,1965,16808,1
645,1965,27133,1
646,1965,30660,1
647,1965,32387,1
648,1965,15940,1
649,1965,7652,1
650,1965,26393,1
651,1965,13399,1
652,1965,17255,1
653,1965,18677,1
654,1982,46772,1
655,1983,19359,1
656,1983,17255,1
657,1983,25097,1
658,1983,6628,1
659,1995,48529,1
660,1995,34607,1
661,2033,34205,1
662,2033,28904,1
663,2033,38180,1
664,2037,24894,1
665,2037,9437,1
666,2047,37109,1
667,2047,51254,1
668,2047,40859,1
669,2047,4199,1
670,2047,19238,1
671,2047,46874,1
672,2047,26009,1
673,2047,4219,1
674,2052,33580,1
675,2052,23365,1
676,2052,34420,1
677,2052,22259,1
678,2052,13309,1
679,2075,31138,1
680,2081,34499,1
681,2088,33416,1
682,2088,5472,1
683,2088,49410,1
684,2088,33643,1
685,2088,7482,1
686,2101,28904,1
687,2126,41047,1
688,2126,19042,1
689,2126,39776,1
690,2126,48078,1
691,2126,21735,1
692,2126,38184,1
693,2126,41541,1
694,2126,8375,1
695,2126,53401,1
696,2126,15987,1
697,2126,13719,1
698,2126,40416,1
699,2126,15193,1
700,2133,34205,1
701,2133,28904,1
702,2155,28904,1
703,2155,34205,1
704,2158,49493,1
705,2163,24310,1
706,2189,24008,1
707,2195,23067,1
708,2198,53401,1
709,2200,52614,1
710,2217,28904,1
711,2217,34205,1
712,2224,49867,1
713,2244,45305,1
714,2252,28904,1
715,2252,34205,1
716,2252,38180,1
717,2261,26044,1
718,2269,28904,1
719,2269,17255,1
720,2269,38180,1
721,2300,10669,1
722,2313,16243,1
723,2315,34205,1
724,2333,2280,1
725,2335,6338,1
726,2343,24760,1
727,2352,24613,1
728,2354,38255,1
729,2360,34156,1
730,2403,28904,1
731,2409,51858,1
732,2410,30957,1
733,2410,41769,1
734,2429,38180,1
735,2429,28904,1
736,2429,34205,1
737,2430,2630,1
738,2430,34205,1
739,2435,25761,1
740,2437,33984,1
741,2438,21142,1
742,2462,12538,1
743,2462,11644,1
744,2462,41751,1
745,2462,26685,1
746,2462,17255,1
747,2462,40861,1
748,2462,31694,1
749,2462,47749,1
750,2489,34205,1
751,2491,17255,1
752,2499,52124,1
753,2508,32692,1
754,2508,42,1
755,2527,8196,1
756,2527,27281,1
757,2527,12019,1
758,2527,18190,1
759,2540,19452,1
760,2556,17255,1
761,2562,16885,1
762,2562,6560,1
763,2562,19818,1
764,2562,42923,1
765,2562,34205,1
766,2567,19265,1
767,2576,21188,1
768,2576,43711,1
769,2576,8456,1
770,2576,20243,1
771,2601,47230,1
772,2618,51915,1
773,2630,19265,1
774,2643,38180,1
775,2643,39399,1
776,2649,18858,1
777,2649,33700,1
778,2649,35291,1
779,2667,48026,1
780,2672,42908,1
781,2676,2649,1
782,2683,34205,1
783,2683,38180,1
784,2709,29846,1
785,2709,748,1
786,2709,33797,1
787,2711,19265,1
788,2731,38654,1
789,2731,1211,1
790,2731,38511,1
791,2731,6239,1
792,2731,7885,1
793,2731,26264,1
794,2731,19818,1
795,2731,42962,1
796,2731,50382,1
797,2731,36138,1
798,2731,32609,1
799,2731,11637,1
800,2731,1074,1
801,2731,27216,1
802,2731,748,1
803,2731,2665,1
804,2731,29132,1
805,2731,36538,1
806,2731,1198,1
807,2731,23573,1
808,2731,50233,1
809,2731,22639,1
810,2731,51110,1
811,2731,42490,1
812,2731,27224,1
813,2731,48854,1
814,2731,28673,1
815,2731,17057,1
816,2731,42549,1
817,2731,22739,1
818,2731,35614,1
819,2731,15562,1
820,2731,16424,1
821,2731,30164,1
822,2731,32566,1
823,2731,49243,1
824,2731,7440,1
825,2731,18527,1
826,2731,20251,1
827,2731,12562,1
828,2731,18784,1
829,2731,38161,1
830,2731,44547,1
831,2750,19265,1
832,2750,6774,1
833,2750,14907,1
834,2760,28904,1
835,2760,34205,1
836,2760,38180,1
837,2767,31138,1
838,2773,19265,1
839,2785,22259,1
840,2785,7329,1
841,2785,33580,1
842,2785,13591,1
843,2785,21142,1
844,2785,6420,1
845,2785,38189,1
846,2785,21594,1
847,2785,13525,1
848,2785,18287,1
849,2785,23047,1
850,2785,3991,1
851,2785,16111,1
852,2788,48556,1
853,2788,4320,1
854,2790,17255,1
855,2879,23076,1
856,2879,41135,1
857,2890,1923,1
858,2890,47373,1
859,2890,18713,1
860,2890,49397,1
861,2890,1852,1
862,2890,28904,1
863,2890,28901,1
864,2890,38180,1
865,2897,17255,1
866,2916,39943,1
867,2916,17772,1
868,2916,46657,1
869,2916,34509,1
870,2916,2267,1
871,2916,41293,1
872,2916,31658,1
873,2916,16870,1
874,2916,34072,1
875,2916,126,1
876,2916,52347,1
877,2918,16269,1
878,2945,34205,1
879,2945,38180,1
880,2946,37992,1
881,2948,28904,1
882,2955,7608,1
883,2972,16885,1
884,2974,52076,1
885,2991,28904,1
886,2991,34205,1
887,2991,38180,1
888,2997,53401,1
889,2998,46208,1
890,2998,28904,1
891,2998,38180,1
892,3013,30048,1
893,3013,42081,1
894,3019,2957,1
895,3023,11013,1
896,3033,34205,1
897,3043,9995,1
898,3045,28904,1
899,3045,34205,1
900,3045,38180,1
901,3046,17255,1
902,3048,34205,1
903,3057,28904,1
904,3074,39562,1
905,3084,5777,1
906,3092,748,1
907,3092,36538,1
908,3092,50065,1
909,3092,36569,1
910,3092,34205,1
911,3092,29846,1
912,3120,28904,1
913,3120,38180,1
914,3140,748,1
915,3140,34205,1
916,3144,29161,1
917,3160,26080,1
918,3160,10584,1
919,3163,41396,1
920,3163,13525,1
921,3165,3857,1
922,3165,6998,1
923,3200,53401,1
924,3217,50283,1
925,3222,34205,1
926,3223,26393,1
927,3225,34205,1
928,3232,21075,1
929,3248,52207,1
930,3255,51610,1
931,3255,38896,1
932,3255,32984,1
933,3255,24760,1
934,3258,11260,1
935,3258,43476,1
936,3262,25530,1
937,3262,46638,1
938,3266,10494,1
939,3268,34205,1
940,3319,17311,1
941,3319,49750,1
942,3319,6011,1
943,3319,25616,1
944,3320,13986,1
945,3322,28904,1
946,3363,17255,1
947,3391,47184,1
948,3409,31654,1
949,3409,36824,1
950,3439,40381,1
951,3439,46336,1
952,3452,37830,1
953,3452,9654,1
954,3452,1617,1
955,3452,1245,1
956,3452,15562,1
957,3452,21611,1
958,3452,11039,1
959,3452,13400,1
960,3452,34618,1
961,3452,24706,1
962,3452,51955,1
963,3452,361,1
964,3452,16713,1
965,3452,1701,1
966,3452,20251,1
967,3452,44247,1
968,3452,3092,1
969,3452,25982,1
970,3452,11637,1
971,3452,38858,1
972,3452,9599,1
973,3452,42766,1
974,3452,19414,1
975,3452,11851,1
976,3452,17189,1
977,3452,7103,1
978,3452,24309,1
979,3452,19403,1
980,3452,32274,1
981,3452,34116,1
982,3452,32387,1
983,3452,41427,1
984,3452,29132,1
985,3452,52417,1
986,3452,11384,1
987,3452,44225,1
988,3452,45495,1
989,3452,22322,1
990,3452,13935,1
991,3452,21125,1
992,3452,12121,1
993,3452,7885,1
994,3452,32823,1
995,3452,734,1
996,3452,9430,1
997,3452,26605,1
998,3452,31654,1
999,3452,33797,1
1000,3452,49649,1
1001,3452,22739,1
1002,3452,19519,1
1003,3452,33846,1
1004,3452,4436,1
1005,3452,38161,1
1006,3452,30679,1
1007,3452,37530,1
1008,3466,31654,1
1009,3466,17311,1
1010,3466,35458,1
1011,3466,26605,1
1012,3466,50590,1
1013,3466,47574,1
1014,3466,38954,1
1015,3466,25982,1
1016,3466,46087,1
1017,3466,734,1
1018,3466,21329,1
1019,3466,23668,1
1020,3466,32274,1
1021,3466,7819,1
1022,3466,52022,1
1023,3466,12562,1
1024,3466,748,1
1025,3466,30679,1
1026,3466,1074,1
1027,3466,1617,1
1028,3466,29846,1
1029,3529,34205,1
1030,3532,53401,1
1031,3534,53401,1
1032,3546,34499,1
1033,3546,10412,1
1034,3546,18062,1
1035,3546,23274,1
1036,3546,20443,1
1037,3549,34205,1
1038,3549,14304,1
1039,3557,52417,1
1040,3557,11384,1
1041,3557,43415,1
1042,3558,47230,1
1043,3568,27812,1
1044,3568,10108,1
1045,3568,11296,1
1046,3568,21188,1
1047,3568,8456,1
1048,3568,26009,1
1049,3568,19238,1
1050,3568,17772,1
1051,3568,38947,1
1052,3568,28543,1
1053,3587,46951,1
1054,3597,24008,1
1055,3597,19265,1
1056,3603,19265,1
1057,3603,53401,1
1058,3632,33757,1
1059,3632,7657,1
1060,3635,35932,1
1061,3635,6524,1
1062,3704,14539,1
1063,3704,17255,1
1064,3722,14843,1
1065,3734,34205,1
1066,3734,28904,1
1067,3734,48951,1
1068,3738,14267,1
1069,3738,12019,1
1070,3740,38255,1
1071,3740,24278,1
1072,3740,52124,1
1073,3740,16246,1
1074,3773,22996,1
1075,3775,38180,1
1076,3784,28904,1
1077,3801,7053,1
1078,3811,11741,1
1079,3827,52479,1
1080,3827,13795,1
1081,3827,45630,1
1082,3827,17712,1
1083,3827,25745,1
1084,3827,45304,1
1085,3827,46305,1
1086,3827,2198,1
1087,3827,12461,1
1088,3827,6728,1
1089,3827,29856,1
1090,3827,42146,1
1091,3827,46343,1
1092,3827,10768,1
1093,3827,32586,1
1094,3827,10166,1
1095,3827,3452,1
1096,3827,4610,1
1097,3827,46713,1
1098,3834,19265,1
1099,3834,45855,1
1100,3848,27606,1
1101,3848,5484,1
1102,3848,9228,1
1103,3848,15872,1
1104,3848,27803,1
1105,3848,50440,1
1106,3848,11013,1
1107,3848,31091,1
1108,3848,22963,1
1109,3872,35635,1
1110,3872,38180,1
1111,3872,24255,1
1112,3872,34205,1
1113,3872,5112,1
1114,3875,27180,1
1115,3875,50057,1
1116,3875,11094,1
1117,3875,11039,1
1118,3875,24847,1
1119,3875,17255,1
1120,3875,33166,1
1121,3875,41896,1
1122,3875,22158,1
1123,3875,51122,1
1124,3875,52929,1
1125,3875,15417,1
1126,3875,31739,1
1127,3880,28031,1
1128,3880,11013,1
1129,3894,9784,1
1130,3894,23893,1
1131,3904,3738,1
1132,3904,8375,1
1133,3904,38034,1
1134,3904,19887,1
1135,3904,12091,1
1136,3904,12699,1
1137,3907,23005,1
1138,3907,17255,1
1139,3907,44551,1
1140,3907,33641,1
1141,3921,34205,1
1142,3922,26868,1
1143,3922,19802,1
1144,3922,52022,1
1145,3922,28904,1
1146,3923,11013,1
1147,3923,31138,1
1148,3932,12562,1
1149,3932,43224,1
1150,3932,39786,1
1151,3932,12760,1
1152,3932,53401,1
1153,3932,12150,1
1154,3932,22681,1
1155,3932,35458,1
1156,3932,7329,1
1157,3932,17057,1
1158,3932,43415,1
1159,3932,11456,1
1160,3957,25071,1
1161,3976,35275,1
1162,3976,39695,1
1163,3978,13481,1
1164,3978,43608,1
1165,3978,50313,1
1166,3991,3452,1
1167,3991,39496,1
1168,3991,47054,1
1169,3991,37632,1
1170,3991,44474,1
1171,3991,6560,1
1172,4006,20973,1
1173,4006,11013,1
1174,4012,38180,1
1175,4012,42986,1
1176,4012,10219,1
1177,4012,48749,1
1178,4012,28904,1
1179,4012,34205,1
1180,4022,11644,1
1181,4022,15884,1
1182,4022,33555,1
1183,4022,23182,1
1184,4028,28504,1
1185,4036,37935,1
1186,4036,16885,1
1187,4057,28904,1
1188,4079,11682,1
1189,4079,24524,1
1190,4087,15940,1
1191,4092,5597,1
1192,4099,44340,1
1193,4108,28904,1
1194,4108,34205,1
1195,4108,38180,1
1196,4122,17255,1
1197,4122,38728,1
1198,4123,28675,1
1199,4126,38858,1
1200,4126,29846,1
1201,4126,42549,1
1202,4126,19414,1
1203,4126,48287,1
1204,4126,16197,1
1205,4126,31654,1
1206,4126,3452,1
1207,4126,13400,1
1208,4126,26605,1
1209,4126,45101,1
1210,4126,20251,1
1211,4126,42766,1
1212,4126,36138,1
1213,4126,32274,1
1214,4126,350,1
1215,4138,6259,1
1216,4147,47230,1
1217,4156,38180,1
1218,4156,28904,1
1219,4156,34205,1
1220,4159,11328,1
1221,4171,18716,1
1222,4185,42908,1
1223,4185,6259,1
1224,4196,27812,1
1225,4196,5658,1
1226,4196,49089,1
1227,4196,15800,1
1228,4196,38947,1
1229,4196,26009,1
1230,4196,52514,1
1231,4196,2495,1
1232,4196,36254,1
1233,4196,50640,1
1234,4196,4992,1
1235,4196,6420,1
1236,4196,12428,1
1237,4196,19238,1
1238,4196,3232,1
1239,4196,21120,1
1240,4196,16111,1
1241,4196,12105,1
1242,4196,43711,1
1243,4196,24824,1
1244,4196,21188,1
1245,4196,26708,1
1246,4196,12566,1
1247,4196,26808,1
1248,4196,38195,1
1249,4199,35582,1
1250,4199,15914,1
1251,4199,37395,1
1252,4199,37020,1
1253,4199,27031,1
1254,4199,50942,1
1255,4199,29535,1
1256,4199,16126,1
1257,4199,45279,1
1258,4199,27397,1
1259,4199,26899,1
1260,4199,12242,1
1261,4199,34700,1
1262,4199,34205,1
1263,4199,14024,1
1264,4199,4936,1
1265,4199,13001,1
1266,4199,4460,1
1267,4199,51062,1
1268,4203,39006,1
1269,4206,40909,1
1270,4219,86,1
1271,4219,50942,1
1272,4219,41528,1
1273,4219,28271,1
1274,4219,15626,1
1275,4219,27031,1
1276,4219,15914,1
1277,4219,27397,1
1278,4219,12242,1
1279,4219,37395,1
1280,4235,28515,1
1281,4235,13066,1
1282,4236,11687,1
1283,4236,17698,1
1284,4236,36569,1
1285,4236,14210,1
1286,4236,22309,1
1287,4236,13837,1
1288,4236,40062,1
1289,4236,7800,1
1290,4236,1298,1
1291,4236,471,1
1292,4236,40878,1
1293,4236,45498,1
1294,4236,29909,1
1295,4236,32817,1
1296,4236,25068,1
1297,4236,49443,1
1298,4236,243,1
1299,4236,31888,1
1300,4236,43536,1
1301,4236,3332,1
1302,4236,9784,1
1303,4236,50911,1
1304,4236,16885,1
1305,4236,19519,1
1306,4236,19416,1
1307,4236,19585,1
1308,4236,48302,1
1309,4236,26495,1
1310,4236,17255,1
1311,4236,30107,1
1312,4236,9636,1
1313,4236,18838,1
1314,4236,2676,1
1315,4236,5463,1
1316,4236,8644,1
1317,4236,42313,1
1318,4236,49028,1
1319,4236,17336,1
1320,4236,50137,1
1321,4236,26413,1
1322,4236,10407,1
1323,4236,30178,1
1324,4236,102,1
1325,4236,47554,1
1326,4236,22435,1
1327,4236,11644,1
1328,4236,26769,1
1329,4236,44546,1
1330,4236,14200,1
1331,4236,21818,1
1332,4236,4368,1
1333,4236,28149,1
1334,4236,15340,1
1335,4236,49506,1
1336,4236,34765,1
1337,4236,11133,1
1338,4236,13475,1
1339,4236,22204,1
1340,4236,23755,1
1341,4236,40561,1
1342,4236,37708,1
1343,4236,28018,1
1344,4236,24283,1
1345,4236,48273,1
1346,4236,26883,1
1347,4236,26517,1
1348,4236,41044,1
1349,4236,30048,1
1350,4236,20140,1
1351,4236,8973,1
1352,4236,25682,1
1353,4236,10695,1
1354,4236,411,1
1355,4236,41933,1
1356,4236,17483,1
1357,4236,44390,1
1358,4236,31508,1
1359,4236,16294,1
1360,4236,30139,1
1361,4236,28612,1
1362,4236,30706,1
1363,4236,4235,1
1364,4236,9914,1
1365,4236,17918,1
1366,4236,11253,1
1367,4236,52704,1
1368,4236,48166,1
1369,4236,3880,1
1370,4236,4612,1
1371,4236,49102,1
1372,4236,17346,1
1373,4236,7948,1
1374,4236,39006,1
1375,4236,35561,1
1376,4236,8520,1
1377,4236,35994,1
1378,4236,39106,1
1379,4236,14157,1
1380,4236,13334,1
1381,4236,51357,1
1382,4236,30556,1
1383,4236,25099,1
1384,4236,26277,1
1385,4236,19529,1
1386,4236,25856,1
